"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -3.969736632,      -2.107075293,      -1.433127345,       1.509145635
          0,           0,           1,      -2.933519686,       1.434098798,     -0.1851604841,       3.194053551
          0,           0,           2,      -3.634438158,       1.184306054,      -0.412328283,       2.432168193
          0,           0,           3,       -3.36898496,      0.9575001458,     -0.5827928355,       2.475887428
          0,           0,           4,      -3.258879077,       0.764763882,     -0.7372413576,       2.411977154
          0,           0,           5,      -3.222401893,      0.6020433727,     -0.9038101944,       2.362480613
          0,           0,           6,      -3.225527885,      0.4596010952,      -1.028337536,       2.312707517
          0,           0,           7,      -3.237203824,      0.3292859991,     -0.9485694743,       2.271186792
          0,           0,           8,      -3.240779308,      0.2058515156,     -0.8462825985,       2.249631911
          0,           0,           9,      -3.290563201,     0.08640733818,     -0.9333695956,       2.192386816
          0,           0,          10,      -3.368798505,    -0.03070971644,      -1.454784509,       2.110053523
          0,           0,          11,       -3.34165411,     -0.1480875391,        -1.1827487,       2.132714506
          0,           0,          12,      -3.317177555,     -0.2702719928,     -0.9275522661,       2.153647393
          0,           0,          13,      -3.375923846,     -0.4009015898,     -0.8840470453,       2.092127939
          0,           0,          14,       -3.54714182,      -0.540220519,      -1.030441306,       1.921369332
          0,           0,          15,      -3.827157828,     -0.6714130599,      -1.567342423,       1.655247766
          0,           0,          16,      -3.845270929,     -0.7820141735,      -1.491922132,       1.647489863
          0,           0,          17,      -3.898638005,       -0.87613428,      -1.389866727,       1.589152867
          0,           0,          18,      -4.126312025,     -0.9604192862,       -1.57928997,       1.352733641
          0,           0,          19,      -4.359796174,      -1.039370989,      -2.077369269,       1.094934166
          0,           0,          20,      -4.274090505,      -1.115293581,      -1.883192316,       1.190269973
          0,           0,          21,       -4.28431428,      -1.188715227,      -1.785030097,       1.184542674
          0,           0,          22,      -4.435714761,      -1.258092397,       -1.91188278,       1.033115331
          0,           0,          23,      -4.638176706,      -1.320538861,       -2.25559578,      0.8305929409
          0,           0,          24,      -4.636773591,      -1.374098138,      -2.570014648,      0.8290803975
          0,           0,          25,      -4.532940542,      -1.418449166,      -2.371987309,      0.9238752033
          0,           0,          26,      -4.427827165,      -1.453396176,      -2.370115443,       1.021075291
          0,           0,          27,      -4.309139945,      -1.475528971,      -2.466187216,        1.13648414
          0,           0,          28,       -4.18001677,      -1.478961096,       -2.50067128,       1.264611403
          0,           0,          29,      -4.048991962,      -1.453353541,      -2.463021184,       1.395800418
          0,           0,          30,      -3.916918866,      -1.396093537,      -2.393678841,       1.527207093
          0,           0,          31,      -3.783441359,      -1.306380819,      -2.279211964,       1.661448737
          0,           0,          32,      -3.651091431,      -1.200251688,      -2.163982925,       1.792687321
          0,           0,          33,      -3.516558575,      -1.075338605,       -2.03203357,       1.928681271
          0,           0,          34,      -3.384929665,     -0.9539221405,      -1.904606714,        2.05829994
          0,           0,          35,      -3.249182775,     -0.8154085658,      -1.773339477,       2.196746105
          0,           0,          36,      -3.118995273,     -0.6946751733,      -1.638703978,       2.323236266
          0,           0,          37,       -2.98114762,     -0.5465913232,      -1.509877518,       2.466055981
          0,           0,          38,       -2.85361975,     -0.4344438369,      -1.370123361,       2.586738079
          0,           0,          39,      -2.711849739,     -0.2724988189,       -1.24614192,       2.737652842
          0,           0,          40,      -2.589104371,     -0.1778534575,      -1.099165441,       2.847672989
          0,           0,          41,      -2.439645777,    0.009157463365,     -0.9831504516,       3.013897073
          0,           0,          42,      -2.325384405,     0.07102544074,     -0.8229565324,       3.104349969
          0,           0,          43,      -2.159665599,        0.30631047,     -0.7202958777,        3.30062875
          0,           0,          44,      -2.060655336,       0.305658719,      -0.532374142,        3.35443184
          0,           0,          45,      -1.896019872,      0.5952920644,     -0.4902242213,       3.572220652
          0,           0,          46,      -1.876542797,      0.4475793057,     -0.3269943598,       3.516330337
          0,           0,          47,      -2.194232148,      0.3041005657,     -0.4693027382,       3.275629217
          0,           0,          48,       -2.26075196,     0.09172490373,     -0.6308428024,        3.15096377
          0,           0,          49,      -2.259113213,      0.2083616107,     -0.7386269424,       3.200715163
          0,           0,          50,      -2.193558093,      0.1866441207,     -0.6936777921,       3.225035876
          0,           0,          51,      -2.045337271,      0.4391361912,       -0.67837984,       3.417889006
          0,           0,          52,      -1.967124064,      0.3827417768,     -0.5008020119,       3.436658945
          0,           0,          53,      -1.956361446,      0.5346738053,     -0.4117499501,       3.511503279
          0,           0,          54,      -1.950785688,      0.3794821633,     -0.2919620711,       3.449361664
          0,           0,          55,      -2.062626197,      0.4207094449,     -0.4340551566,       3.403205612
          0,           0,          56,      -2.033333365,      0.3248633844,       -0.53621865,        3.37487518
          0,           0,          57,      -2.047723887,      0.4333636317,     -0.5855003252,         3.4144534
          0,           0,          58,      -1.986719135,      0.3625106274,     -0.4155621906,       3.421763998
          0,           0,          59,       -1.95452004,      0.5327520748,     -0.4011528123,       3.510859985
          0,           0,          60,      -1.909611337,      0.4181044135,     -0.2844844545,       3.488880639
          0,           0,          61,      -2.042970621,      0.4452564673,    -0.08461473543,       3.425262001
          0,           0,          62,      -2.074396017,      0.2980856629,      0.1904516131,       3.331467133
          0,           0,          63,      -2.064472741,      0.3821104278,   -0.006541719348,       3.387679237
          0,           0,          64,      -1.998616722,      0.3484003211,     -0.1430685681,       3.407684571
          0,           0,          65,      -1.966329706,      0.5126270119,      -0.093545597,       3.498399059
          0,           0,          66,      -1.915299939,      0.4203886528,    -0.09507915057,       3.484652084
          0,           0,          67,       -1.96277191,      0.5132655902,       0.226978298,       3.521747812
          0,           0,          68,      -1.928305493,      0.4474194519,      0.4505362754,       3.501415844
          0,           0,          69,      -1.879992734,      0.5464271438,      0.4667283968,       3.551075344
          0,           0,          70,      -1.892987313,      0.6939921643,      0.5500676525,       3.614323248
          0,           0,          71,      -1.525299166,       1.027300808,      0.8429942109,       3.965920228
          0,           0,          72,       -1.57798974,      0.9815218654,      0.7983492635,       3.928362765
          0,           0,          73,      -1.673661623,      0.8377142622,      0.7578953272,       3.820856936
          0,           0,          74,       -1.61708275,      0.8665207136,      0.8930845729,       3.871232934
          0,           0,          75,      -1.577482799,      0.9483028561,      0.8438838678,       3.842951288
          0,           0,          76,       -1.54582043,       1.031817406,      0.9310036837,       3.936815761
